name,occurrence,definition_count,line,end_line,kind,active
save_mode_at_least,1,1,577,582,FunctionDef,True
parse_runtime_args,1,1,585,632,FunctionDef,True
_parse_int_list,1,1,635,638,FunctionDef,True
_parse_str_list,1,1,641,644,FunctionDef,True
_resolve_n_jobs,1,1,647,656,FunctionDef,True
apply_comprehensive_level,1,1,659,671,FunctionDef,True
apply_ram_mode,1,1,674,693,FunctionDef,True
apply_runtime_options,1,1,696,798,FunctionDef,True
configure_threading,1,1,801,807,FunctionDef,True
important_prediction_subset,1,1,809,853,FunctionDef,True
save_prediction_table_for_mode,1,1,856,872,FunctionDef,True
maybe_save_pickle,1,1,875,878,FunctionDef,True
_path_candidates_from_user_root,1,1,969,988,FunctionDef,True
configure_data_roots,1,1,991,1027,FunctionDef,True
setup_logging,1,1,1059,1080,FunctionDef,True
save_json,1,1,1082,1085,FunctionDef,True
load_json,1,1,1088,1090,FunctionDef,True
done_path,1,1,1093,1094,FunctionDef,True
is_done,1,1,1097,1098,FunctionDef,True
mark_done,1,1,1101,1108,FunctionDef,True
safe_read_csv,1,1,1111,1123,FunctionDef,True
_filename_aliases,1,1,1126,1137,FunctionDef,True
_candidate_relative_paths,1,1,1140,1159,FunctionDef,True
resolve_input_file,1,1,1162,1212,FunctionDef,True
inspect_input_files,1,1,1214,1259,FunctionDef,True
atomic_save_csv,1,1,1262,1267,FunctionDef,True
atomic_pickle,1,1,1270,1275,FunctionDef,True
read_pickle,1,1,1278,1280,FunctionDef,True
reduce_dataframe_memory,1,1,1284,1303,FunctionDef,True
normalize_mof_id,1,1,1309,1322,FunctionDef,True
numeric_columns,1,1,1325,1327,FunctionDef,True
find_identifier_column,1,1,1330,1344,FunctionDef,True
robust_quantile,1,1,1347,1352,FunctionDef,True
extract_target_table,1,1,1384,1394,FunctionDef,True
load_cluster_file,1,1,1397,1405,FunctionDef,True
load_topology_table,1,1,1408,1424,FunctionDef,True
build_master_table,1,1,1427,1590,FunctionDef,True
get_feature_columns,1,1,1596,1612,FunctionDef,True
audit_feature_set_integrity,1,1,1616,1637,FunctionDef,True
active_feature_sets_for_modelling,1,1,1640,1647,FunctionDef,True
make_train_cal_test_split,1,1,1663,1708,FunctionDef,True
sample_fewshot_indices,1,1,1711,1741,FunctionDef,True
make_preprocessor,1,1,1747,1756,FunctionDef,True
model_available,1,1,1759,1778,FunctionDef,True
maybe_wrap_target_transform,1,1,1781,1799,FunctionDef,True
make_model,1,1,1802,1909,FunctionDef,True
regression_metrics,1,1,1915,1935,FunctionDef,True
ndcg_at_k,1,1,1938,1963,FunctionDef,True
topk_metrics,1,1,1966,1990,FunctionDef,True
conformal_quantile,1,1,1993,2001,FunctionDef,True
split_conformal_intervals,1,1,2004,2007,FunctionDef,True
locally_weighted_conformal_intervals,1,1,2010,2079,FunctionDef,True
mondrian_conformal_intervals,1,1,2081,2101,FunctionDef,True
interval_metrics,1,1,2104,2114,FunctionDef,True
assign_candidate_tiers,1,1,2117,2132,FunctionDef,True
fit_predict_with_warning_control,1,1,2138,2154,FunctionDef,True
run_single_experiment,1,1,2160,2336,FunctionDef,True
run_all_experiments,1,1,2339,2387,FunctionDef,True
bootstrap_ci,1,1,2393,2403,FunctionDef,True
aggregate_results,1,1,2406,2452,FunctionDef,True
truncate_prediction_text_columns,1,1,2463,2485,FunctionDef,True
compact_candidate_rows,1,1,2488,2553,FunctionDef,True
read_prediction_file_compact,1,1,2556,2611,FunctionDef,True
choose_prediction_files_for_collection,1,1,2614,2639,FunctionDef,True
target_stats_from_master,1,1,2645,2668,FunctionDef,True
build_experiment_quality_table,1,1,2671,2733,FunctionDef,True
apply_prediction_quality_flags,1,1,2736,2771,FunctionDef,True
write_prediction_range_qc,1,1,2774,2795,FunctionDef,True
collect_candidate_tiers,1,2,2798,2903,FunctionDef,False
build_consensus_candidate_table,1,2,2908,2980,FunctionDef,False
write_external_overlay_integrity,1,1,2983,2996,FunctionDef,True
bin_numeric_series,1,1,3002,3006,FunctionDef,True
chemical_failure_anatomy,1,2,3009,3056,FunctionDef,False
save_current_figure,1,1,3062,3080,FunctionDef,True
set_panel_label,1,1,3083,3084,FunctionDef,True
safe_boxplot_with_labels,1,1,3087,3111,FunctionDef,True
