target,budget,mean,lo,hi,n
CH4_5p8bar_298K_mmolg,10,0.11366870124821252,0.048799713364385475,0.20359818713663452,30
CH4_5p8bar_298K_mmolg,20,0.15005989673428385,0.048799713364385475,0.25166369912037123,30
CH4_5p8bar_298K_mmolg,50,0.2901594004113988,0.18709411217682242,0.3688481017321578,30
CH4_5p8bar_298K_mmolg,100,0.34566274675596353,0.26109565982475813,0.4003353257520737,30
CH4_5p8bar_298K_mmolg,200,0.4100902617312417,0.3217782026255997,0.4571264779648871,30
CH4_5p8bar_298K_mmolg,500,0.46349348201239143,0.3655803402186471,0.5243335379727445,30
CH4_5p8bar_298K_mmolg,1000,0.48838403795261154,0.38267555547395865,0.5552991759226084,30
CH4_65bar_298K_mmolg,10,0.2339172705151869,0.0493827482257047,0.4265214772579679,30
CH4_65bar_298K_mmolg,20,0.3197183295990868,0.0493827482257047,0.5714289983877798,30
CH4_65bar_298K_mmolg,50,0.4912569804349506,0.17261441505122183,0.7013447442681144,30
CH4_65bar_298K_mmolg,100,0.6206055794024528,0.36032326752604865,0.7689290467728712,30
CH4_65bar_298K_mmolg,200,0.7207815162936205,0.6501564603565173,0.7905073946824701,30
CH4_65bar_298K_mmolg,500,0.7871265521557462,0.7484047325683492,0.8284166191805902,30
CH4_65bar_298K_mmolg,1000,0.8236189321610207,0.7814056194421793,0.8564128902977721,30
CO2_0p015bar_298K_mmolg,10,0.16057643507725566,0.04904612650412522,0.28259643597281114,30
CO2_0p015bar_298K_mmolg,20,0.2129098960834618,0.04904612650412522,0.36167456997816366,30
CO2_0p015bar_298K_mmolg,50,0.2868868603781747,0.19806740509932905,0.37891885921151486,30
CO2_0p015bar_298K_mmolg,100,0.35455724397463567,0.2778072834479002,0.40813902787422507,30
CO2_0p015bar_298K_mmolg,200,0.4193320872714373,0.3218954219013422,0.474418193834385,30
CO2_0p015bar_298K_mmolg,500,0.47387453867863055,0.4063194759810644,0.5105267933764221,30
CO2_0p015bar_298K_mmolg,1000,0.5061737021997372,0.4266826320288817,0.5441955214840081,30
CO2_0p150bar_298K_mmolg,10,0.1504449897974361,0.047335896923201275,0.2647573514141518,30
CO2_0p150bar_298K_mmolg,20,0.19658544080203869,0.047335896923201275,0.3445839553050796,30
CO2_0p150bar_298K_mmolg,50,0.2851337171047662,0.1810909753914132,0.37738287856581304,30
CO2_0p150bar_298K_mmolg,100,0.36609314768106077,0.2940671215508184,0.4356338212144193,30
CO2_0p150bar_298K_mmolg,200,0.4152285957872777,0.34877827227163877,0.4659469057276622,30
CO2_0p150bar_298K_mmolg,500,0.466804784850762,0.3558720376657462,0.5246595101069218,30
CO2_0p150bar_298K_mmolg,1000,0.5184608674656154,0.4151073397382252,0.5659357368280429,30
