target,budget,label_efficiency
CO2_0p015bar_298K_mmolg,10,0.31723583105842956
CO2_0p015bar_298K_mmolg,20,0.42062615097978184
CO2_0p015bar_298K_mmolg,50,0.5667755142778408
CO2_0p015bar_298K_mmolg,100,0.7004655564558085
CO2_0p015bar_298K_mmolg,200,0.8284351507182172
CO2_0p015bar_298K_mmolg,500,0.9361895661889574
CO2_0p015bar_298K_mmolg,1000,1.0
CO2_0p150bar_298K_mmolg,10,0.29017617189288386
CO2_0p150bar_298K_mmolg,20,0.37917122224287514
CO2_0p150bar_298K_mmolg,50,0.5499618871884799
CO2_0p150bar_298K_mmolg,100,0.7061152936587645
CO2_0p150bar_298K_mmolg,200,0.8008870521261008
CO2_0p150bar_298K_mmolg,500,0.900366477286197
CO2_0p150bar_298K_mmolg,1000,1.0
CH4_5p8bar_298K_mmolg,10,0.23274450517410628
CH4_5p8bar_298K_mmolg,20,0.30725798771671636
CH4_5p8bar_298K_mmolg,50,0.5941213837122853
CH4_5p8bar_298K_mmolg,100,0.7077683132418501
CH4_5p8bar_298K_mmolg,200,0.8396880935142954
CH4_5p8bar_298K_mmolg,500,0.9490348700900104
CH4_5p8bar_298K_mmolg,1000,1.0
CH4_65bar_298K_mmolg,10,0.2840115269101842
CH4_65bar_298K_mmolg,20,0.3881872029825811
CH4_65bar_298K_mmolg,50,0.5964614960294623
CH4_65bar_298K_mmolg,100,0.7535105801588373
CH4_65bar_298K_mmolg,200,0.8751395677639728
CH4_65bar_298K_mmolg,500,0.9556926406371873
CH4_65bar_298K_mmolg,1000,1.0
