target,budget,geometry_only,geometry_plus_racs,delta_recall_racs_minus_geometry
CH4_5p8bar_298K_mmolg,10,0.09491722815260435,0.11366870124821252,0.018751473095608165
CH4_5p8bar_298K_mmolg,20,0.10236333479995655,0.15005989673428385,0.04769656193432731
CH4_5p8bar_298K_mmolg,50,0.17566791962444367,0.2901594004113988,0.11449148078695515
CH4_5p8bar_298K_mmolg,100,0.20596918043089898,0.34566274675596353,0.13969356632506455
CH4_5p8bar_298K_mmolg,200,0.25415391452971353,0.4100902617312417,0.15593634720152816
CH4_5p8bar_298K_mmolg,500,0.28791721134172643,0.46349348201239143,0.175576270670665
CH4_5p8bar_298K_mmolg,1000,0.3130314011548112,0.48838403795261154,0.17535263679780033
CH4_65bar_298K_mmolg,10,0.2669892687450551,0.2339172705151869,-0.03307199822986817
CH4_65bar_298K_mmolg,20,0.36146940253823057,0.3197183295990868,-0.04175107293914376
CH4_65bar_298K_mmolg,50,0.5097716760396319,0.4912569804349506,-0.01851469560468133
CH4_65bar_298K_mmolg,100,0.6298197966162342,0.6206055794024528,-0.009214217213781462
CH4_65bar_298K_mmolg,200,0.7132035768092749,0.7207815162936205,0.007577939484345597
CH4_65bar_298K_mmolg,500,0.7621952979922892,0.7871265521557462,0.024931254163456984
CH4_65bar_298K_mmolg,1000,0.7843420734449945,0.8236189321610207,0.03927685871602615
CO2_0p015bar_298K_mmolg,10,0.1670607315286886,0.16057643507725566,-0.006484296451432947
CO2_0p015bar_298K_mmolg,20,0.20833816770686817,0.2129098960834618,0.004571728376593642
CO2_0p015bar_298K_mmolg,50,0.2797260255188985,0.2868868603781747,0.007160834859276155
CO2_0p015bar_298K_mmolg,100,0.32580743301414256,0.35455724397463567,0.028749810960493116
CO2_0p015bar_298K_mmolg,200,0.3755829415209879,0.4193320872714373,0.04374914575044936
CO2_0p015bar_298K_mmolg,500,0.3860324637771235,0.47387453867863055,0.08784207490150703
CO2_0p015bar_298K_mmolg,1000,0.4069697502959009,0.5061737021997372,0.09920395190383635
CO2_0p150bar_298K_mmolg,10,0.15231804058693413,0.1504449897974361,-0.0018730507894980375
CO2_0p150bar_298K_mmolg,20,0.1679653380263926,0.19658544080203869,0.028620102775646084
CO2_0p150bar_298K_mmolg,50,0.23203516018396733,0.2851337171047662,0.05309855692079887
CO2_0p150bar_298K_mmolg,100,0.2760882567974162,0.36609314768106077,0.09000489088364455
CO2_0p150bar_298K_mmolg,200,0.3082689859666815,0.4152285957872777,0.10695960982059621
CO2_0p150bar_298K_mmolg,500,0.3575756097016337,0.466804784850762,0.10922917514912828
CO2_0p150bar_298K_mmolg,1000,0.39025606144667063,0.5184608674656154,0.12820480601894474
