target,budget,normalized_width
CH4_5p8bar_298K_mmolg,10,3.295249396222825
CH4_5p8bar_298K_mmolg,20,3.0809188581375
CH4_5p8bar_298K_mmolg,50,2.711914936811901
CH4_5p8bar_298K_mmolg,100,2.5035798545241543
CH4_5p8bar_298K_mmolg,200,2.2272433991140272
CH4_5p8bar_298K_mmolg,500,1.9502564822659754
CH4_5p8bar_298K_mmolg,1000,1.800299627457117
CH4_65bar_298K_mmolg,10,2.7018831938223933
CH4_65bar_298K_mmolg,20,2.3529672067736183
CH4_65bar_298K_mmolg,50,1.5419640534814743
CH4_65bar_298K_mmolg,100,1.1574820477805452
CH4_65bar_298K_mmolg,200,0.8497333443463665
CH4_65bar_298K_mmolg,500,0.6687472344805986
CH4_65bar_298K_mmolg,1000,0.5975869523310879
CO2_0p015bar_298K_mmolg,10,2.2801795016291075
CO2_0p015bar_298K_mmolg,20,2.0508501115962425
CO2_0p015bar_298K_mmolg,50,1.9884586432597107
CO2_0p015bar_298K_mmolg,100,1.8268831624213628
CO2_0p015bar_298K_mmolg,200,1.9048690573476463
CO2_0p015bar_298K_mmolg,500,1.8035674784577054
CO2_0p015bar_298K_mmolg,1000,1.76224401995208
CO2_0p150bar_298K_mmolg,10,3.260503473676192
CO2_0p150bar_298K_mmolg,20,2.8617157827824142
CO2_0p150bar_298K_mmolg,50,2.4810564793997734
CO2_0p150bar_298K_mmolg,100,2.3583021304508165
CO2_0p150bar_298K_mmolg,200,2.239476458141148
CO2_0p150bar_298K_mmolg,500,2.07419359714248
CO2_0p150bar_298K_mmolg,1000,1.9161385623779184
