target,target_label_plain,mof_id,filename,consensus_score,y_true_median,y_pred_median,split_lower_median,split_upper_median,true_percentile,pred_percentile,n_models,n_seeds,n_splits,n_budgets,trusted_support
CH4_5p8bar_298K_mmolg,CH4 5.8 bar,DB0-m3_o1520_o156_f0_fsc.sym.34,DB0-m3_o1520_o156_f0_fsc.sym.34.cif,54.603233333333336,8.517160415649414,7.6316614,6.425999239651561,8.834168,0.9983548976739185,0.9900469517221605,5,4,5,4,51
CH4_5p8bar_298K_mmolg,CH4 5.8 bar,DB0-m3_o43_o156_f0_fsc.sym.64,DB0-m3_o43_o156_f0_fsc.sym.64.cif,54.4688,8.983488082885742,7.794746764928423,6.558074791832853,9.005113380052416,0.9994659689616859,0.9925199813626752,5,5,4,5,50
CH4_5p8bar_298K_mmolg,CH4 5.8 bar,DB0-m3_o44_o156_f0_fsc.sym.24,DB0-m3_o44_o156_f0_fsc.sym.24.cif,53.728125000000006,8.337862014770508,7.52298361396158,6.29126864413459,8.769529625780299,0.9976094046808358,0.9878606501559084,5,5,5,4,50
CH4_5p8bar_298K_mmolg,CH4 5.8 bar,DB0-m3_o153_o156_f0_fsc.sym.73,DB0-m3_o153_o156_f0_fsc.sym.73.cif,52.2626,8.013068199157715,7.672290732379638,6.465929528394886,8.946472836180849,0.9953550051969463,0.9907243467976058,5,5,4,4,44
CH4_5p8bar_298K_mmolg,CH4 5.8 bar,DB0-m3_o440_o155_f0_fsc.sym.13,DB0-m3_o440_o155_f0_fsc.sym.13.cif,52.21821666666667,8.735939025878906,7.674775,6.433216921518017,8.888353,0.9990251245475072,0.9907709401096735,5,5,4,4,45
CH4_65bar_298K_mmolg,CH4 65 bar,DB7-ddmof_22845,DB7-ddmof_22845.cif,65.10745,45.76158142089844,39.23882105255127,37.038586,41.402473,0.9997634493387334,0.998577111931472,5,5,5,6,89
CH4_65bar_298K_mmolg,CH4 65 bar,DB7-ddmof_23735,DB7-ddmof_23735.cif,64.31450833333334,46.59375,38.6934545,36.37185695861817,40.99748726982608,0.9998207949535859,0.9983835704813447,5,5,5,5,90
CH4_65bar_298K_mmolg,CH4 65 bar,DB7-ddmof_23766,DB7-ddmof_23766.cif,63.97840833333333,47.76900863647461,38.862103000000005,36.44088757847841,41.27457145928955,0.9998745564675101,0.9984337478943407,5,5,5,5,88
CH4_65bar_298K_mmolg,CH4 65 bar,DB0-m2_o29_frl,DB0-m2_o29_frl.cif,62.63271666666666,50.738914489746094,38.605548,36.23140660377732,40.7865085,0.999949822587004,0.998336977169277,5,5,6,5,76
CH4_65bar_298K_mmolg,CH4 65 bar,DB0-m3_o29_nbo,DB0-m3_o29_nbo.cif,62.44752499999999,52.52501678466797,38.95787112688817,36.72811369919777,41.247191334950976,0.999974911293502,0.9984588366008387,5,5,5,5,80
